329	2935
659	1884
1200	2391
1706	2105
279	1825
195	1128
2238	2521
141	1715
743	2683
264	1154
1288	1307
347	2429
1833	2533
1555	2682
1157	1480
526	1456
1021	1685
1274	2399
51	2701
1179	2178
1749	1945
674	1425
1834	2587
343	2313
141	2232
1973	2118
1420	1935
909	2240
2103	2354
1374	1637
953	2406
294	2079
307	489
2394	2526
2688	2853
875	2136
473	1745
43	2136
335	2505
2183	2697
478	2825
2248	2991
544	1356
2226	2558
283	2119
473	2286
2162	2734
1021	2747
598	921
2381	2423
2389	2449
2200	2224
833	2814
859	1466
601	2535
1152	1835
1343	2752
201	1162
1370	2829
1781	1936
2157	2515
2422	2645
833	2878
95	2952
292	1493
2357	2505
1401	2198
1840	2032
2209	2734
677	1153
767	1884
563	1616
473	1243
347	2164
571	1456
84	2156
736	1507
1104	2347
21	1570
2867	2962
243	2582
201	1314
1446	1755
422	2151
282	2020
2076	2271
830	844
541	2777
632	2711
14	2841
599	1466
2375	2539
2069	2604
2548	2696
841	1058
51	1159
1180	1278
431	2679
1448	2119
724	1066
410	601
659	1872
1698	2423
2020	2237
276	681
592	1480
664	1113
1198	1448
125	2119
2199	2223
325	2118
734	2466
1914	2271
243	2983
738	765
307	2156
2029	2655
1831	2441
1276	2224
1465	2520
1065	2646
90	2326
329	2417
1439	2634
22	2247
1478	2246
1752	2247
1080	1184
1308	1524
788	1046
763	2681
1377	1935
26	2235
132	1466
1422	1884
1935	2867
1478	2458
83	807
2209	2414
1004	2252
1770	1954
532	645
2104	2978
955	1481
796	2434
2655	2938
1492	1896
537	2586
256	516
630	1973
1915	1964
644	1706
691	737
498	796
2111	2736
1756	2500
2211	2714
525	2213
392	2141
1127	2926
894	957
657	2650
2340	2553
1441	2688
366	689
303	429
683	933
318	2055
1169	1935
522	2290
1699	2269
152	558
428	1558
675	2395
1658	1694
1115	1884
1439	2305
821	1100
322	1708
1317	2313
763	1425
681	2608
1505	2216
334	2076
639	2396
518	1872
1805	2126
832	1528
64	781
541	1875
1456	2211
522	2641
534	2802
178	2141
673	1058
2224	2859
22	490
154	2684
1162	1335
1231	1644
887	1797
869	2189
811	2301
746	2853
501	1151
1866	2794
22	2620
1184	2571
2319	2930
2175	2180
1709	2422
899	2103
1074	2993
671	1957
602	989
563	1289
1928	2347
2078	2918
316	2794
1095	1660
493	2324
472	2209
405	887
1295	2818
90	221
519	1715
1317	1679
526	2422
528	1034
1725	2315
195	1545
1845	1934
195	1492
1354	2655
43	433
832	1822
1780	2613
246	247
472	869
1120	1236
243	2715
830	2391
1604	1886
681	2566
317	2044
1000	2515
303	2172
639	2124
426	2138
859	1127
564	607
2218	2752
1278	1323
1071	2258
2187	2926
212	325
221	1068
736	2097
2194	2288
316	2965
786	1521
249	1895
1666	2634
2347	2835
1010	2958
2226	2537
1058	2335
1547	2807
22	1319
860	2789
743	2355
537	2194
2226	2643
1504	1933
196	727
512	2592
791	2183
1708	2185
1072	2609
1115	1872
598	1830
1708	2564
264	668
552	2083
1094	1521
794	1653
1572	2852
253	1172
1959	2946
195	2274
2086	2406
765	1165
2313	2408
1269	2394
2574	2575
1159	2854
677	1401
2790	2918
1528	2727
606	2413
388	2151
1453	1788
734	1353
409	1685
2140	2592
1447	1637
1654	2679
1223	1444
1124	2446
2234	2275
2213	2522
1061	1164
286	2727
195	724
1092	2347
516	2499
544	1809
271	604
82	176
1081	2851
1841	2633
1160	2795
